# simulation time	nodes	communities
9999 4256 9
VM_CSid	start_time	end_time	com_id
1-0	0.01	109.441	4
2-0	2.03	71.697	1
3-0	4.05	113.283	7
4-0	6.06	74.342	0
5-0	8.08	101.089	1
6-0	10.1	45.439	0
7-0	12.12	98.02	3
8-0	14.13	92.896	0
9-0	16.15	58.674	0
10-0	18.17	117.569	7
11-0	22.2	72.272	2
12-0	24.22	84.98	1
13-0	26.24	107.139	4
14-0	30.28	99.672	7
15-0	34.27	77.361	2
16-0	34.31	77.299	1
17-0	38.35	215.919	5
18-0	40.36	190.789	2
19-0	42.38	115.19	4
20-0	44.4	152.394	3
21-0	46.42	83.068	1
22-0	48.43	144.483	7
23-0	50.45	135.107	1
24-0	52.47	153.99	1
25-0	54.49	137.117	1
26-0	56.51	165.66	5
27-0	60.54	214.898	5
28-0	62.56	161.54	3
29-0	64.58	221.471	5
30-0	66.59	143.641	4
31-0	70.63	116.874	1
32-0	71.53	154.195	0
33-0	72.65	170.022	4
34-0	74.66	201.222	4
35-0	77.03	195.38	0
36-0	80.72	152.031	0
37-0	82.74	219.27	5
38-0	84.75	174.501	7
39-0	86.77	177.453	2
40-0	88.79	137.889	4
41-0	90.81	219.474	1
42-0	92.82	170.467	7
43-0	94.84	214.259	4
44-0	96.86	232.248	5
45-0	100.9	276.049	5
46-0	102.91	203.872	3
47-0	106.95	235.728	1
48-0	108.97	216.898	5
49-0	110.98	199.211	4
50-0	115.02	187.536	2
51-0	117.04	240.399	5
52-0	119.05	208.789	1
53-0	121.07	237.26	4
54-0	123.09	206.932	2
55-0	125.11	229.419	1
56-0	127.13	228.376	4
57-0	129.14	212.406	2
58-0	131.16	165.547	1
59-0	133.18	245.479	0
60-0	135.2	153.88	4
61-0	137.21	235.94	1
62-0	139.23	219.643	1
63-0	141.25	329.359	3
64-0	143.27	193.422	1
65-0	145.28	230.353	1
66-0	147.3	218.684	4
67-0	149.32	262.134	4
68-0	151.34	234.397	1
69-0	157.39	206.745	4
70-0	159.41	217.083	4
71-0	163.44	254.681	4
72-0	169.5	276.289	3
73-0	169.75	335.066	2
74-0	171.51	254.38	1
75-0	175.55	231.198	1
76-0	177.57	252.188	4
77-0	179.59	268.236	1
78-0	181.6	289.778	2
79-0	183.62	286.844	0
80-0	183.63	261.766	2
81-0	187.66	246.648	0
82-0	189.67	285.332	3
83-0	191.69	254.061	4
84-0	193.71	269.821	2
85-0	195.73	304.888	5
86-0	197.74	232.458	0
87-0	199.76	276.133	2
88-0	201.78	280.369	1
89-0	203.8	343.868	5
90-0	209.85	270.294	0
91-0	213.89	339.836	4
92-0	218.5	315.153	1
93-0	219.94	292.2	2
94-0	221.96	360.357	0
95-0	223.97	276.716	4
96-0	225.99	307.816	5
97-0	228.01	345.03	7
98-0	230.03	370.776	3
99-0	232.05	292.801	0
100-0	234.06	297.987	4
101-0	236.08	316.411	2
102-0	238.1	331.589	3
103-0	242.13	271.448	2
104-0	244.21	301.574	1
105-0	246.17	320.519	3
106-0	248.19	312.379	1
107-0	250.2	288.56	1
108-0	252.22	286.623	0
109-0	254.24	329.414	5
110-0	256.26	343.428	2
111-0	258.28	347.051	1
112-0	260.29	399.26	0
113-0	262.31	289.786	1
114-0	264.33	344.142	1
115-0	266.35	346.008	4
116-0	268.36	303.619	1
117-0	270.38	351.185	1
118-0	272.4	355.308	2
119-0	274.42	315.773	1
120-0	276.43	372.487	7
121-0	280.47	331.09	1
122-0	282.49	405.218	2
123-0	284.51	512.808	3
124-0	286.52	358.115	3
125-0	292.58	372.894	4
126-0	294.59	380.319	4
127-0	295.9	332.69	1
128-0	296.61	365.032	4
129-0	300.65	381.568	3
130-0	301.38	379.154	0
131-0	302.66	431.434	6
132-0	304.68	380.854	1
133-0	306.7	427.741	6
134-0	308.72	386.944	2
135-0	310.74	464.141	1
136-0	312.75	351.102	1
137-0	318.81	362.478	1
138-0	320.82	375.209	7
139-0	322.84	395.49	1
140-0	324.86	398.436	4
141-0	326.88	430.249	1
142-0	328.9	421.446	2
143-0	330.91	364.182	4
144-0	332.93	419.191	4
145-0	334.95	422.041	4
146-0	336.97	360.696	2
147-0	341.0	432.844	1
148-0	343.02	438.385	1
149-0	345.04	425.79	2
150-0	347.05	493.334	4
151-0	349.07	405.876	5
152-0	351.09	411.58	2
153-0	353.11	409.007	1
154-0	355.13	437.2	3
155-0	357.14	393.12	2
156-0	359.16	412.897	2
157-0	361.18	384.137	2
158-0	363.2	417.454	1
159-0	365.21	399.018	1
160-0	367.23	495.429	3
161-0	373.28	478.314	1
162-0	375.3	454.079	1
163-0	377.32	483.244	1
164-0	383.37	407.992	1
165-0	389.43	458.187	2
166-0	391.44	440.037	1
