# simulation time	nodes	communities
9999 4256 9
time	node_id	com_id
9.0011	4-0	1
12.0011	5-0	0
13.0011	5-0	1
14.0011	4-0	0
14.0011	5-0	0
15.0011	4-0	1
15.0011	5-0	1
16.0011	4-0	0
18.0011	6-0	1
19.0011	6-0	2
20.0011	6-0	0
21.0011	8-0	1
22.0011	5-0	0
23.0011	5-0	1
24.0011	4-0	1
24.0011	9-0	1
25.0011	4-0	0
25.0011	9-0	0
25.0011	6-0	2
25.0011	10-0	6
26.0011	8-0	0
28.0011	8-0	1
28.0011	1-0	1
28.0011	5-0	0
28.0011	3-0	8
29.0011	5-0	1
30.0011	8-0	0
31.0011	8-0	1
31.0011	10-0	7
32.0011	8-0	0
32.0011	1-0	0
32.0011	9-0	2
33.0011	1-0	1
33.0011	8-0	1
34.0011	9-0	0
34.0011	8-0	0
36.0011	8-0	1
37.0011	1-0	0
37.0011	3-0	7
38.0011	1-0	1
38.0011	11-0	0
39.0011	8-0	0
40.0011	15-0	0
41.0011	15-0	2
41.0011	18-0	0
42.0011	7-0	0
42.0011	18-0	2
43.0011	15-0	0
43.0011	19-0	1
43.0011	13-0	1
43.0011	7-0	3
44.0011	17-0	0
45.0011	1-0	0
45.0011	17-0	5
46.0011	19-0	4
46.0011	1-0	1
47.0011	19-0	1
48.0011	1-0	0
49.0011	1-0	1
49.0011	19-0	0
50.0011	19-0	1
50.0011	4-0	3
50.0011	5-0	5
50.0011	10-0	5
53.0011	1-0	0
53.0011	5-0	1
54.0011	16-0	0
54.0011	21-0	0
54.0011	24-0	0
54.0011	4-0	0
54.0011	5-0	5
55.0011	21-0	1
55.0011	24-0	1
56.0011	11-0	3
56.0011	17-0	3
57.0011	14-0	1
57.0011	17-0	5
57.0011	16-0	1
58.0011	17-0	0
59.0011	17-0	3
60.0011	5-0	0
60.0011	16-0	0
61.0011	15-0	1
61.0011	13-0	4
61.0011	5-0	5
62.0011	15-0	3
62.0011	27-0	3
63.0011	15-0	0
63.0011	2-0	0
64.0011	2-0	1
64.0011	24-0	0
64.0011	16-0	1
65.0011	16-0	0
65.0011	13-0	1
65.0011	29-0	1
67.0011	15-0	1
68.0011	10-0	0
68.0011	7-0	0
68.0011	25-0	0
68.0011	19-0	0
69.0011	23-0	5
69.0011	25-0	1
69.0011	11-0	1
69.0011	19-0	1
69.0011	7-0	3
69.0011	13-0	0
69.0011	10-0	5
69.0011	15-0	0
70.0011	13-0	1
70.0011	11-0	3
70.0011	7-0	0
70.0011	23-0	1
71.0011	23-0	3
71.0011	2-0	4
71.0011	21-0	0
71.0011	16-0	1
72.0011	29-0	5
72.0011	23-0	0
72.0011	28-0	0
72.0011	16-0	0
72.0011	7-0	3
73.0011	17-0	0
73.0011	29-0	1
73.0011	15-0	1
73.0011	7-0	0
73.0011	23-0	3
73.0011	25-0	0
74.0011	30-0	0
74.0011	29-0	5
74.0011	28-0	3
74.0011	17-0	3
75.0011	18-0	0
75.0011	30-0	4
75.0011	26-0	3
75.0011	25-0	1
75.0011	1-0	3
75.0011	21-0	1
76.0011	23-0	0
76.0011	13-0	0
76.0011	15-0	0
76.0011	18-0	4
77.0011	32-0	1
77.0011	8-0	2
77.0011	13-0	1
77.0011	30-0	0
78.0011	30-0	4
78.0011	18-0	0
78.0011	1-0	0
79.0011	32-0	0
79.0011	30-0	0
79.0011	23-0	3
79.0011	13-0	0
79.0011	8-0	0
79.0011	1-0	3
80.0011	5-0	6
80.0011	32-0	1
80.0011	30-0	2
80.0011	25-0	0
80.0011	18-0	4
81.0011	30-0	0
81.0011	21-0	0
82.0011	32-0	0
82.0011	30-0	2
82.0011	18-0	0
82.0011	21-0	2
82.0011	25-0	1
83.0011	13-0	1
83.0011	12-0	4
84.0011	37-0	3
84.0011	32-0	1
84.0011	22-0	1
85.0011	10-0	0
85.0011	32-0	0
86.0011	13-0	0
86.0011	10-0	3
